Index,Variant,"Region, subregion, country or area *",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Estimates,SUB-SAHARAN AFRICA,SDG region,  958 577,  984 734, 1 011 429, 1 038 627, 1 066 283, 1 094 366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Estimates,Eastern Africa,Subregion,  389 671,  400 427,  411 397,  422 563,  433 905,  445 406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Estimates,Burundi,Country/Area,  10 160,  10 488,  10 827,  11 175,  11 531,  11 891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Estimates,Comoros,Country/Area,   777,   796,   814,   832,   851,   870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Estimates,Djibouti,Country/Area,   914,   929,   944,   959,   974,   988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Estimates,Eritrea,Country/Area,  3 343,  3 377,  3 413,  3 453,  3 497,  3 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Estimates,Ethiopia,Country/Area,  100 835,  103 603,  106 400,  109 224,  112 079,  114 964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Estimates,Kenya,Country/Area,  47 878,  49 052,  50 221,  51 393,  52 574,  53 771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Estimates,Madagascar,Country/Area,  24 234,  24 894,  25 571,  26 262,  26 969,  27 691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Estimates,Malawi,Country/Area,  16 745,  17 205,  17 670,  18 143,  18 629,  19 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Estimates,Mauritius,Country/Area,  1 259,  1 262,  1 264,  1 267,  1 270,  1 272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Estimates,Mayotte,Country/Area,   240,   246,   253,   260,   266,   273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Estimates,Mozambique,Country/Area,  27 042,  27 830,  28 649,  29 496,  30 366,  31 255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Estimates,Réunion,Country/Area,   863,   870,   876,   883,   889,   895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Estimates,Rwanda,Country/Area,  11 369,  11 669,  11 981,  12 302,  12 627,  12 952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Estimates,Seychelles,Country/Area,   95,   96,   96,   97,   98,   98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Estimates,Somalia,Country/Area,  13 797,  14 186,  14 589,  15 008,  15 443,  15 893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Estimates,South Sudan,Country/Area,  10 716,  10 833,  10 911,  10 976,  11 062,  11 194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Estimates,Uganda,Country/Area,  38 225,  39 649,  41 167,  42 729,  44 270,  45 741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Estimates,United Republic of Tanzania,Country/Area,  51 483,  53 049,  54 660,  56 313,  58 005,  59 734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Estimates,Zambia,Country/Area,  15 879,  16 363,  16 854,  17 352,  17 861,  18 384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Estimates,Zimbabwe,Country/Area,  13 815,  14 030,  14 237,  14 439,  14 645,  14 863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Estimates,Middle Africa,Subregion,  154 203,  159 065,  164 039,  169 122,  174 308,  179 595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Estimates,Angola,Country/Area,  27 884,  28 842,  29 817,  30 810,  31 825,  32 866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Estimates,Cameroon,Country/Area,  23 298,  23 927,  24 566,  25 216,  25 876,  26 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Estimates,Central African Republic,Country/Area,  4 493,  4 538,  4 596,  4 666,  4 745,  4 830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Estimates,Chad,Country/Area,  14 111,  14 562,  15 017,  15 478,  15 947,  16 426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Estimates,Congo,Country/Area,  4 856,  4 981,  5 111,  5 244,  5 381,  5 518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Estimates,Democratic Republic of the Congo,Country/Area,  76 245,  78 789,  81 399,  84 068,  86 791,  89 561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
