Index,Variant,"Region,subregion,countryorarea*",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Estimates,SUB-SAHARANAFRICA,SDGregion,958577,984734,1011429,1038627,1066283,1094366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Estimates,EasternAfrica,Subregion,389671,400427,411397,422563,433905,445406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Estimates,Burundi,Country/Area,10160,10488,10827,11175,11531,11891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Estimates,Comoros,Country/Area,777,796,814,832,851,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Estimates,Djibouti,Country/Area,914,929,944,959,974,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Estimates,Eritrea,Country/Area,3343,3377,3413,3453,3497,3546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Estimates,Ethiopia,Country/Area,100835,103603,106400,109224,112079,114964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Estimates,Kenya,Country/Area,47878,49052,50221,51393,52574,53771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Estimates,Madagascar,Country/Area,24234,24894,25571,26262,26969,27691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Estimates,Malawi,Country/Area,16745,17205,17670,18143,18629,19130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Estimates,Mauritius,Country/Area,1259,1262,1264,1267,1270,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Estimates,Mayotte,Country/Area,240,246,253,260,266,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Estimates,Mozambique,Country/Area,27042,27830,28649,29496,30366,31255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Estimates,Réunion,Country/Area,863,870,876,883,889,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Estimates,Rwanda,Country/Area,11369,11669,11981,12302,12627,12952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Estimates,Seychelles,Country/Area,95,96,96,97,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Estimates,Somalia,Country/Area,13797,14186,14589,15008,15443,15893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Estimates,SouthSudan,Country/Area,10716,10833,10911,10976,11062,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Estimates,Uganda,Country/Area,38225,39649,41167,42729,44270,45741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Estimates,UnitedRepublicofTanzania,Country/Area,51483,53049,54660,56313,58005,59734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Estimates,Zambia,Country/Area,15879,16363,16854,17352,17861,18384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Estimates,Zimbabwe,Country/Area,13815,14030,14237,14439,14645,14863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Estimates,MiddleAfrica,Subregion,154203,159065,164039,169122,174308,179595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Estimates,Angola,Country/Area,27884,28842,29817,30810,31825,32866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Estimates,Cameroon,Country/Area,23298,23927,24566,25216,25876,26546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Estimates,CentralAfricanRepublic,Country/Area,4493,4538,4596,4666,4745,4830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Estimates,Chad,Country/Area,14111,14562,15017,15478,15947,16426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Estimates,Congo,Country/Area,4856,4981,5111,5244,5381,5518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Estimates,DemocraticRepublicoftheCongo,Country/Area,76245,78789,81399,84068,86791,89561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Estimates,EquatorialGuinea,Country/Area,1169,1215,1262,1309,1356,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Estimates,Gabon,Country/Area,1948,2008,2065,2119,2173,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Estimates,SaoTomeandPrincipe,Country/Area,199,203,207,211,215,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Estimates,SouthernAfrica,Subregion,62985,63915,64834,65739,66630,67504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
